tier	class	n_windows	bp_covered	n_chromosomes	mean_avg_dxy	median_avg_dxy	mean_avg_wc_fst	median_avg_wc_fst	mean_pi_average	median_pi_average	mean_f3	median_f3	mean_TajimaD	median_TajimaD	mean_recombination	median_recombination	mean_abs_delta_p	median_abs_delta_p	mean_B_no_delta_p	median_B_no_delta_p	mean_K_local_mean	median_K_local_mean	fraction_of_genome
Score margin >= 1.00	Balancing selection	46878	468780000	18	0.013942727172392	0.0135875711897944	0.124180563616338	0.125684891419929	0.012291364733825	0.0118235046943973	0.00026984236957579	0.00020516551569678	-0.203755752784607	-0.1953485	6.95619712024075e-10	6.25653648931267e-10	0.161817013815293	0.161132735191021					
Score margin >= 1.00	Geographic sweep	15174	151740000	18	0.00717871113326226	0.00712653567483115	0.540159949355932	0.55073453932849	0.00327816738965961	0.0032163453671313	-0.000514616362597368	-0.000463403950192093	-0.095804447866297	-0.0977599	3.42765188964605e-10	2.75932733443954e-10	0.298335304148384	0.292414383780019					
Score margin >= 1.00	No consensus	91268	912680000	18	0.00906543778712198	0.0082873202559846	0.29914277816716	0.288368298304762	0.00645092627222306	0.00579407644492235	-0.000298180056880903	-0.000268832975788946	-0.313461082929862	-0.3259	4.46710609811722e-10	3.69356909577782e-10	0.216005107966091	0.211941217647036					
Top 1%	Balancing selection	556	5560000	18	0.0274032160713931	0.0250009798636842	0.0385493991380693	0.0379548571050475	0.0266889617845853	0.0242885923263926	0.000630836916037156	0.00048054441203122	0.744445517320144	0.662481	4.8877706848416e-10	3.75409005320336e-10	0.126369579546798	0.127052853679763					
Top 1%	Geographic sweep	177	1770000	9	0.00298910513453149	0.0029385126960936	0.77879465288187	0.780275648670813	0.000679568468727744	0.0007190674226204	-0.00036455874788467	-0.00033870352005605	0.504322029717514	0.37776	4.69926149091314e-10	4.23350890632777e-10	0.485104342475949	0.443298059964727					
Top 1%	No consensus	152587	1525870000	18	0.010333830885347	0.0094696585968442	0.269299738685278	0.243132030454492	0.00788228533495765	0.00673816622956978	-0.000146398209243415	-0.000135259449174401	-0.262138552610142	-0.2577715	5.12986791207954e-10	4.18023130667732e-10	0.207430171898714	0.197388263459167					
Top 500	Balancing selection	498	4980000	17	0.0277623134437223	0.0257135882181161	0.0372492342151508	0.0367419934115481	0.0270820006240649	0.0247517447349355	0.00064204545441069	0.00048372384362408	0.772411257429719	0.6945525	4.91952170160454e-10	3.79030910879666e-10	0.125635726533622	0.126024313250496					
Top 500	Geographic sweep	342	3420000	12	0.00333091554922343	0.0033347770855223	0.753407574426895	0.762894004113867	0.000846209921307811	0.00088755322705835	-0.000398464706044818	-0.000370458919458422	0.445154020321638	0.315693	4.26843163489597e-10	3.79562222311928e-10	0.458397369462051	0.424921704793028					
Top 500	No consensus	152480	1524800000	18	0.0103465058445291	0.0094791478194113	0.268712931038074	0.24280950662019	0.0078957604614507	0.0067460409758764	-0.000145819014012357	-0.000134663880403483	-0.262549926458202	-0.258149	5.13111176161396e-10	4.18156346693664e-10	0.207157052020362	0.197293411120023					
Empirical FDR <= 0.05	No consensus	153213	1532130000		0.0103881453858712		0.268905202302582		0.00794428024261161		-0.000143752755069963		-0.257853720512993		5.12914173113398e-10		0.207457178280734						0.999302113227237
Empirical FDR <= 0.05	Geographic sweep	82	820000		0.00831157526770373		0.592364883012686		0.00335824766449419		-0.000467864717640507		0.288707337804878		3.27818954517842e-10		0.207457178280734						0.000534829115575267
Empirical FDR <= 0.05	Balancing selection	25	250000		0.0162646596044181		0.0664356751368061		0.0152346003415816		0.000660336941115866		-0.11953176		7.19465099993203e-10		0.207457178280734						0.000163057657187582
